taxonName,chi2,pValue,urbanCount,nonUrbanCount
Melospiza melodia,55.34955162744943,1.0089287933202299e-13,607,4094
Cacatua galerita,54.68395611002675,1.4155721629249978e-13,147,351
Passerina caerulea,54.222985655935275,1.7898090004868256e-13,25,497
Sterna forsteri,54.100400018177154,1.9050247730267379e-13,34,568
Prosthemadera novaeseelandiae novaeseelandiae,54.05893495830919,1.945653465260801e-13,52,71
Anas undulata,53.52510835461757,2.5530885686432473e-13,33,30
Pericrocotus cinnamomeus,53.217740822832134,2.985502655016105e-13,25,16
Anser anser domesticus,53.07585307134348,3.2091329814520553e-13,71,121
Poecile gambeli,52.4971592487271,4.308711311315491e-13,5,313
Larus delawarensis,51.98282533382792,5.598821060395329e-13,307,2319
Alcedo atthis bengalensis,51.919679061018726,5.781802673515984e-13,13,1
Aythya valisineria,51.77358395683375,6.228417211382805e-13,26,492
Setophaga townsendi,51.73263132411377,6.359693723574898e-13,143,345
Molothrus ater,51.69942317895548,6.468174969249011e-13,135,1255
Platalea ajaja,51.669406217192254,6.567824023929486e-13,32,539
Anas flavirostris,51.66685106703026,6.576377124500123e-13,75,134
Calypte anna,51.374206801151665,7.633491675827956e-13,541,1866
Gallinago delicata,50.93874374879161,9.529392540276175e-13,11,361
Hydroprogne caspia,50.61538199909406,1.123609541555602e-12,69,805
Lonchura striata,50.330927562985,1.2988632296948092e-12,35,36
Forpus xanthopterygius,50.31929534990841,1.3065850835143998e-12,21,11
Aythya americana,50.29806356333601,1.3207981022893198e-12,47,645
Microcarbo africanus,50.27892565211374,1.3337419726011523e-12,34,34
Dives warczewiczi,50.27746664938082,1.3347339568198648e-12,26,19
Lanius collaris collaris,49.85758808266308,1.6531979407626393e-12,40,47
Anthobaphes violacea,49.79843549875961,1.7037976717513303e-12,2,270
Corvus brachyrhynchos,49.79693388075559,1.7051021448625077e-12,491,1673
Cyanocitta cristata,49.75685876516729,1.7402875704889698e-12,442,1476
Pyrrhura frontalis,49.50601934068777,1.9776400622550666e-12,24,16
Astur cooperii,49.076625345619206,2.46156141989556e-12,423,1404
Numenius americanus,48.41020652469743,3.4576389669729683e-12,32,521
Dendrocitta vagabunda,48.25365656010466,3.744992125295433e-12,26,20
Pycnonotus capensis,48.23196593687093,3.786647846100372e-12,54,82
Motacilla alba leucopsis,48.10918144645237,4.031343703228738e-12,16,5
Chordeiles minor,47.80172795039252,4.715762224764518e-12,8,318
Patagioenas fasciata,47.77617524878241,4.777627540163916e-12,11,345
Mimus gilvus,47.75642037958715,4.8260119551159645e-12,64,109
Icterus abeillei,47.7008235441911,4.964830249587016e-12,21,12
Pipilo erythrophthalmus,47.682224047918695,5.012157303692518e-12,35,540
Cardinalis cardinalis,47.34585203714012,5.95039015752171e-12,795,2955
Rhodopis vesper,47.291787258409336,6.116796629318092e-12,43,56
Geococcyx californianus,46.81739784138887,7.791860304266876e-12,21,425
Limosa lapponica,46.66600157307683,8.41768129027176e-12,84,168
Anastomus lamelligerus,46.375739011204054,9.761672830914862e-12,20,11
Bucephala islandica,46.05730027443994,1.1484440614355482e-11,15,371
Elanus leucurus,45.837099286685984,1.285066280599788e-11,24,444
Euphagus carolinus,45.70508365245389,1.3746555444336292e-11,13,352
Tringa flavipes,45.55573253874634,1.4835685155396406e-11,41,573
Egretta thula,45.50750785331076,1.5205486268105897e-11,646,2342
Dacelo novaeguineae novaeguineae,45.10909396265072,1.863579887906716e-11,75,144
Passer montanus montanus,45.08127003772112,1.8902467980743165e-11,19,10
Gavia stellata,44.59806105714409,2.4193113249068502e-11,10,320
Spilopelia senegalensis senegalensis,44.15531486225736,3.0332709682450624e-11,31,32
Ardea intermedia,43.982933597712034,3.312515648838348e-11,49,74
